,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
37,37,33.0,5.0,Sunny,Low,2,Meal,scooter,0.0,No,Urban,11,1.5204556869457486
38,38,24.0,4.6,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,26,16.787849624214644
39,39,30.0,4.8,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,26,9.121375405888314
40,40,35.0,4.7,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,32,7.803221931101941
41,41,39.0,4.7,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,16,1.512691779367508
42,42,21.0,4.9,Cloudy,Low,2,Buffet,motorcycle,0.0,No,Urban,22,13.970122998320036
43,43,30.0,4.6,Sandstorms,High,2,Snack,scooter,1.0,No,Urban,28,3.0249845923555045
44,44,30.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,15,13.406029476345417
45,45,32.0,4.8,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,19,2.979000204181553
46,46,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,20,6.058853851619802
47,47,34.0,3.6,Stormy,Jam,1,Snack,motorcycle,1.0,Yes,Urban,41,16.660108123674217
48,48,33.0,5.0,Fog,Jam,0,Buffet,motorcycle,,No,Metropolitian,27,4.537843333310986
49,49,30.0,4.9,Sandstorms,Medium,2,Meal,scooter,1.0,No,Urban,25,12.419848147675571
50,50,20.0,4.9,Stormy,Low,2,Buffet,scooter,1.0,No,,19,13.681492022724688
51,51,23.0,4.8,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,24,6.051989448461392
52,52,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,17,14.044682504032233
53,53,21.0,4.8,Fog,Low,1,Snack,scooter,0.0,No,Urban,13,1.5368334398528536
54,54,29.0,4.8,Fog,Medium,1,Meal,motorcycle,0.0,,Urban,10,6.128874096562112
55,55,37.0,5.0,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,29,14.152800689506924
56,56,30.0,4.7,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,27,12.464066309561852
57,57,28.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,28,7.601385733220245
58,58,39.0,5.0,Fog,Medium,2,Drinks,scooter,0.0,No,Metropolitian,38,20.206808074129626
59,59,35.0,3.8,Cloudy,Low,2,Meal,scooter,2.0,No,Metropolitian,34,16.98106480501587
60,60,32.0,4.8,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,4.656862974108854
61,61,34.0,3.6,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,40,16.659890497093063
62,62,26.0,5.0,Windy,Low,1,Buffet,scooter,,No,Metropolitian,14,13.40709269305718
63,63,37.0,4.5,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Urban,18,3.105076185286044
64,64,24.0,4.5,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,22,7.450285846000673
65,65,28.0,4.6,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,19,1.5204190046400987
66,66,32.0,4.1,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,33,13.971216616840229
67,67,32.0,4.6,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,23,12.419649807496642
68,68,26.0,4.9,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,39,12.161009702832278
69,69,31.0,4.7,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,28,16.852701563903537
70,70,20.0,4.3,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,35,13.830053479895492
71,71,38.0,4.6,Windy,Jam,0,Buffet,motorcycle,2.0,Yes,Urban,45,17.137527593779573
72,72,27.0,4.6,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,29,12.106168623625331
73,73,34.0,4.8,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,42,7.647092834731425
74,74,23.0,4.8,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,7.6835568584855105
75,75,34.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,3.105091097288089
76,76,,,,,3,Snack,scooter,1.0,No,Urban,31,17131.86513728409
77,77,30.0,4.6,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,37,13.583302501390298
78,78,21.0,4.7,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,23,10.588906536496683
79,79,27.0,4.2,Fog,Jam,2,Meal,scooter,2.0,No,Metropolitian,36,13.583068670332445
80,80,30.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,28,7.762596264636645
81,81,36.0,5.0,Stormy,High,1,Drinks,scooter,1.0,No,Urban,34,6.0499195551672
82,82,36.0,4.9,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,20,3.0407893995679687
83,83,22.0,4.8,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,25,9.220368460286974
84,84,29.0,4.7,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,22,17.074256778776085
85,85,32.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,19,7.790401204125207
86,86,22.0,4.6,Fog,High,2,Buffet,electric_scooter,1.0,No,Urban,33,6.129085334929411
87,87,26.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,26,12.257003121955876
88,88,,,Sandstorms,Low,1,Snack,scooter,,No,Metropolitian,19,7.763197145384553
89,89,29.0,4.9,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,1.5581322317014603
90,90,37.0,4.9,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,12,9.314115494414798
91,91,35.0,5.0,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,45,11.007734763545226
92,92,37.0,4.1,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,33,7.683918689130393
93,93,29.0,5.0,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,16,20.18116177485454
94,94,22.0,5.0,Sandstorms,High,0,Snack,motorcycle,1.0,No,Metropolitian,26,6.210607623138685
95,95,39.0,4.6,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,21,3.1090961564813906
96,96,27.0,4.5,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,27,3.105492717339753
97,97,25.0,4.7,Cloudy,Jam,1,Buffet,scooter,0.0,No,Urban,20,7.862668167467362
98,98,34.0,5.0,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,16,6.128874096562112
99,99,23.0,4.8,Fog,High,2,Drinks,motorcycle,1.0,No,Metropolitian,22,1.512691779367508
100,100,,,Fog,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,44,12.161615481392904
101,101,23.0,4.8,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Urban,26,20.442929762531403
102,102,34.0,5.0,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,30,7.683697910339948
103,103,30.0,4.7,Sunny,High,1,Meal,motorcycle,0.0,No,Urban,15,1.5526496279714272
104,104,30.0,4.1,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Urban,39,16.38504582594246
105,105,28.0,4.7,Sunny,Low,1,Snack,scooter,1.0,No,Urban,27,13.406475654384886
106,106,22.0,4.9,Stormy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,10.721987300476137
107,107,25.0,4.9,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,17,20.85711532402461
108,108,24.0,4.6,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,,29,13.989584724693524
109,109,27.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,10.75669787890726
110,110,21.0,4.9,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Urban,16,16.903235903501507
111,111,28.0,4.9,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,16.38504788656677
112,112,24.0,4.7,Windy,Jam,1,Buffet,scooter,1.0,No,Urban,19,14.023232083141645
113,113,38.0,4.9,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,23,16.722380390785805
114,114,20.0,4.7,Sandstorms,Low,1,Drinks,motorcycle,0.0,,Urban,11,3.105533979663673
115,115,34.0,4.9,Cloudy,Medium,1,Meal,scooter,0.0,No,Metropolitian,18,6.147073150981206
116,116,33.0,5.0,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,35,6.128899374713287
117,117,39.0,4.9,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,12.10007905559032
118,118,,,,,0,Buffet,motorcycle,1.0,No,Metropolitian,38,3.104632094129702
119,119,37.0,4.6,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,13.990151177314669
120,120,28.0,4.7,Fog,Medium,2,Meal,scooter,1.0,No,Metropolitian,39,10.64158125643388
121,121,29.0,4.6,Sandstorms,Low,2,Meal,scooter,0.0,No,Urban,13,12.099354574482115
122,122,,,Sunny,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,19,2452.780134346831
123,123,34.0,4.6,Stormy,Jam,1,Drinks,scooter,,No,Metropolitian,26,10.602450942694606
124,124,32.0,5.0,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,16,7.646982582902915
125,125,30.0,4.1,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,44,7.790401204125207
126,126,35.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,19.76089839940681
127,127,32.0,4.9,Sunny,Low,2,Buffet,scooter,1.0,No,Urban,21,17.076787116439924
128,128,36.0,4.7,Sandstorms,High,2,Meal,scooter,2.0,No,Metropolitian,32,3.1450674354101187
129,129,23.0,4.9,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,15,1.5303005941809953
130,130,36.0,4.6,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,25,6.128757701580804
131,131,38.0,4.4,Windy,High,2,Drinks,scooter,0.0,No,Metropolitian,32,3.0188245702754792
132,132,22.0,4.6,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,29,16.660097204528178
133,133,30.0,4.9,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,9.220499640586176
134,134,33.0,4.3,Windy,Medium,0,Meal,motorcycle,1.0,No,Urban,31,19.762388480865116
135,135,27.0,4.6,Sunny,Medium,2,Snack,electric_scooter,1.0,No,Urban,13,4.610621612253868
136,136,38.0,5.0,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,28,1.5204185984270169
137,137,38.0,3.9,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,41,10.586484616110663
138,138,26.0,4.9,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,11,1.4898423041565347
139,139,27.0,4.9,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,12.1077344967157
140,140,37.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,4.657153006757443
141,141,21.0,4.8,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Urban,24,16.38504788656677
142,142,30.0,4.2,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,41,17.137879924166842
143,143,34.0,3.5,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,41,13.48136196205675
144,144,32.0,5.0,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,20,12.100157237944073
145,145,20.0,4.8,Stormy,High,0,Snack,motorcycle,,No,Metropolitian,27,2.937222752152008
146,146,30.0,4.8,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,23,17.09922547889281
147,147,29.0,3.5,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,42,12.100157237944073
148,148,20.0,4.9,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,17,10.906379592916467
149,149,38.0,4.3,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,31,7.790158927141666
150,150,37.0,4.6,Cloudy,Medium,1,Drinks,scooter,1.0,No,Urban,38,19.659824899493145
151,151,36.0,5.0,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,9.192290417085571
152,152,31.0,4.9,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,30,13.972141328923932
153,153,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,34,13.631449198537306
154,154,35.0,4.8,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,28,13.96911696778712
155,155,34.0,4.5,Fog,High,1,Snack,scooter,0.0,No,Urban,27,3.040539883821868
156,156,30.0,4.7,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,7.790314135648433
157,157,37.0,4.5,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,34,12.209940785558832
158,158,32.0,4.9,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,17,1.5725337265584898
159,159,28.0,4.6,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,,11,8.953146585332123
160,160,32.0,4.6,Windy,High,0,Snack,motorcycle,1.0,No,Metropolitian,30,6.29013467758336
161,161,29.0,4.6,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,28,16.85257276943237
162,162,20.0,3.9,Sunny,High,0,Snack,motorcycle,2.0,No,Metropolitian,42,3.08828802645803
163,163,25.0,4.8,Stormy,Medium,1,Drinks,scooter,0.0,No,Urban,16,11.916994721377764
164,164,26.0,4.7,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,22,13.622111102049937
165,165,22.0,5.0,Cloudy,High,2,Meal,scooter,0.0,No,Metropolitian,25,3.105369976638969
166,166,32.0,5.0,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,15,2.9797958858786986
167,167,24.0,5.0,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,11,1.5526929429679828
168,168,25.0,4.9,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,25,19.974363119326032
169,169,30.0,4.9,Windy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,28,6.050551152414774
170,170,32.0,5.0,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,16,9.315729044287185
171,171,31.0,4.9,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,16,7.761839422210533
172,172,33.0,4.3,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,34,11.91710005126648
173,173,29.0,4.9,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,35,13.970652591312666
174,174,33.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Urban,25,12.43568904719333
175,175,32.0,5.0,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,19,8.953006164655829
176,176,35.0,4.0,Fog,Medium,1,Buffet,scooter,0.0,No,Metropolitian,31,13.828140500466104
177,177,38.0,3.7,Sandstorms,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,34,10.865866087612565
178,178,35.0,4.9,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,30,17.07651409815574
179,179,37.0,4.6,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,25,1.5367158906738052
180,180,39.0,4.8,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,53,19.661022213462363
181,181,35.0,4.2,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,39,14.152800689506924
182,182,26.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,19,2.979626519740365
183,183,30.0,3.7,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34,16.787191781784927
184,184,37.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,36,3.0734222595348126
185,185,22.0,4.8,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,29,7.683740931038682
186,186,29.0,4.3,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,3.105369976638969
187,187,32.0,4.8,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,16,10.867473945754178
188,188,33.0,4.9,Stormy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,27,6.217824017870779
189,189,35.0,4.4,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,39,20.253101372635506
190,190,37.0,4.9,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,23,3.0737878691270715
191,191,20.0,4.8,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,32,12.074377561824097
192,192,30.0,4.1,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,31,4.527915277764522
193,193,29.0,5.0,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,12,3.1450674354101187
194,194,24.0,4.7,Sunny,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,17,19.976027554949525
195,195,37.0,4.7,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,24,3.108970009200805
196,196,26.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,11,9.055898607597594
197,197,28.0,4.9,Sandstorms,High,1,Meal,motorcycle,1.0,No,Metropolitian,27,6.050033592408317
198,198,26.0,5.0,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,15,1.5321547964178643
199,199,39.0,4.5,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,23,3.105268883912366
200,200,29.0,5.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,17,6.080918142399229
201,201,23.0,4.7,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,19,3.0646598415657964
202,202,30.0,4.6,Cloudy,High,1,Drinks,scooter,1.0,No,Metropolitian,33,6.29013467758336
203,203,36.0,4.6,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,25,4.5609750232747945
204,204,38.0,3.5,Fog,Low,2,Buffet,scooter,1.0,No,Urban,33,19.471572943619865
205,205,29.0,4.6,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,25,20.182728114835903
206,206,,,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,27,1.5130734531037866
207,207,25.0,4.9,Cloudy,Low,2,Buffet,electric_scooter,0.0,No,Urban,20,12.116886186365791
208,208,31.0,4.7,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,40,10.72475046206117
209,209,28.0,4.9,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,28,7.568330481340724
210,210,32.0,5.0,Cloudy,Low,1,Drinks,motorcycle,0.0,No,Urban,18,3.0249845923555045
211,211,25.0,4.8,Windy,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,21,20.17903332455092
212,212,20.0,4.8,Sunny,Medium,1,Snack,scooter,1.0,No,Urban,16,12.464369458885084
213,213,38.0,4.4,Fog,Medium,1,Snack,scooter,0.0,No,Urban,33,10.564409665779
214,214,30.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Urban,25,4.596336792048561
215,215,38.0,4.3,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22,1.532022771405787
216,216,36.0,4.8,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,14.022295961692818
217,217,26.0,4.7,Stormy,Low,1,Drinks,scooter,0.0,No,Urban,11,13.62122232996026
218,218,22.0,4.6,Windy,Jam,2,Buffet,scooter,0.0,No,Urban,22,10.880951367074182
219,219,25.0,4.7,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,4.579040249652878
220,220,38.0,4.3,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,12.257490517510409
221,221,,,,,3,Snack,motorcycle,0.0,No,Metropolitian,31,9.192119120992492
222,222,27.0,4.7,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,41,17.297865752893937
223,223,28.0,4.8,Windy,High,2,Meal,motorcycle,1.0,No,Urban,27,5889.664127255469
224,224,29.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,10.92420172800656
225,225,34.0,5.0,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,29,9.075521306348929
226,226,26.0,4.7,Cloudy,Low,2,Drinks,scooter,1.0,No,,19,7.56236421354915
227,227,36.0,4.9,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,29,10.906379592916467
228,228,27.0,4.6,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,24,7.600994631313737
229,229,39.0,4.8,Fog,Jam,1,Buffet,motorcycle,1.0,Yes,Metropolitian,41,12.484590809743365
230,230,21.0,4.1,Stormy,Jam,0,Meal,motorcycle,0.0,No,Urban,31,10.587929946635423
231,231,20.0,4.1,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,29,4.56092843026368
232,232,28.0,4.6,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,22,4.663566688756208
233,233,37.0,4.2,Fog,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,31,7.448379823590384
234,234,24.0,4.5,Windy,High,2,Snack,motorcycle,1.0,No,Metropolitian,26,6.128757701580804
235,235,29.0,4.4,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,28,7.573429885075215
236,236,26.0,4.0,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,34,10.565262855059668
237,237,38.0,4.9,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,23,13.631271209126313
238,238,22.0,4.9,Stormy,Low,1,Buffet,scooter,1.0,No,Urban,19,20.182728114835903
239,239,35.0,,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,29,9.157678419567484
240,240,31.0,4.5,Sandstorms,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,31,16.90280673247877
241,241,,,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Urban,28,13.613850325897088
242,242,30.0,5.0,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,32,6.128850978488612
243,243,,,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,26,9.314884732538992
244,244,36.0,4.2,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,6.14719451853426
245,245,35.0,4.5,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,27,16.818368923714367
246,246,21.0,5.0,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,29,7.461099952880004
247,247,38.0,5.0,Sandstorms,Jam,1,Meal,scooter,,No,Metropolitian,30,9.363795317264312
248,248,25.0,4.2,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,38,19.61865601366183
249,249,33.0,5.0,Sunny,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,13,3.05936345549117
250,250,23.0,4.6,Stormy,Low,1,Meal,motorcycle,0.0,No,Urban,13,3.025321091690558
251,251,28.0,4.8,Fog,Low,2,Meal,scooter,0.0,No,Metropolitian,13,7.601368938169582
252,252,22.0,4.8,Windy,Jam,2,Meal,scooter,0.0,,Metropolitian,11,7.652510173194676
