,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
59,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520256236596
60,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.520256217802
61,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.520256217802
62,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.520256217802
63,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.520256211184
64,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.520256211184
65,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,20002.520256211184
66,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,20002.520256208547
67,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520256208547
68,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,20002.520256208547
69,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520256208547
70,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20002.520256200485
71,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20002.520256200485
72,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,20002.520256200485
73,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.52025619676
74,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20002.52025619676
75,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.52025619676
76,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.52025619676
77,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,20002.52025619003
78,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.52025619003
79,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.52025619003
80,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.520256189728
81,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520256189728
82,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520256177275
83,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20002.520256177275
84,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.520251727365
85,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.520251719383
86,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251676986
87,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.520251676986
88,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.520251676986
89,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,20002.5202516745
90,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.5202516745
91,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.5202516745
92,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.5202516745
93,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,20002.5202516745
94,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.520251672508
95,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251672508
96,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.520251672508
97,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,20002.520251672293
98,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20002.520251672293
99,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,20002.520251672293
100,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.520251672246
101,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251672246
102,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.520251671245
103,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.520251671245
104,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20002.520251671245
105,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.520251671245
106,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520251671245
107,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,20002.520251671245
108,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.520251671107
109,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520251671107
110,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520251671107
111,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.520251669677
112,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.520251669677
113,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251669677
114,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520251668342
115,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.520251668342
116,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,20002.520251668342
117,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,20002.520251668342
118,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251666898
119,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,20002.520251666898
120,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,20002.520251666898
121,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.52025139077
122,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,20002.52025139077
123,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.52025139077
124,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.52025139077
125,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.52025139077
126,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.52025139077
127,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,20002.52025139077
128,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.52025139077
129,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.52025139077
130,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,20002.52025139077
131,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.52025139077
132,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,20002.52025139077
133,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.52025139077
134,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520251342885
135,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,20002.520251342885
136,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.520251342885
137,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,20002.520251342885
138,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.520251342885
139,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.520251342885
140,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,20002.520251342885
141,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,20002.520251342885
142,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.520251342885
143,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,20002.520251332953
144,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,20002.520251332953
145,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.520251332953
146,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
147,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,20002.520251332953
148,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.520251332953
149,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,20002.520251332953
150,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,20002.520251332953
151,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20002.520251332953
152,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,20002.520251332953
153,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,20002.520251332953
154,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520251332953
155,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
156,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520251332953
157,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.520251332742
158,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.520251332742
159,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251332742
160,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,20002.520251332742
161,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.520251332742
162,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251332742
163,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,20002.520251332742
164,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.520251332742
165,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.520251332742
166,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.520251332742
167,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,20002.520251332742
168,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,20002.520251332742
169,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.520251332055
170,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,20002.520251332055
171,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.520251332055
172,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520251332055
173,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.520251332055
174,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,20002.520251332055
175,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,20002.520251332055
176,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,20002.520251332055
177,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,20002.520251332055
178,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,20002.520251332055
179,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,20002.520251332055
180,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.520251332055
181,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.520251332055
182,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.520251332055
183,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.520251329926
184,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.520251329926
185,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.520251329926
186,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.520251329926
187,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251329926
188,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,20002.520251329926
189,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,20002.520251329926
190,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.520251329926
191,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,20002.520251329926
192,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251329926
193,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,20002.520251329926
194,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520251329177
195,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.520251329177
196,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.520251329177
197,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.520251329177
198,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,20002.520251329177
199,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,20002.520251329177
200,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520251329177
201,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,20002.520251329177
202,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.520251329177
203,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.520251329177
204,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520251329177
205,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,20002.520251329177
206,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,20002.520251329177
207,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.520251327653
208,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.520251327653
209,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.520251327653
210,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.520251327653
211,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.520251327653
212,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
213,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,20002.520251327653
214,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,20002.520251327653
215,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.520251327653
216,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.520251327653
217,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.520251327653
218,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
219,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.520251320853
220,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,20002.520251320853
221,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,20002.520251320853
222,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,20002.520251320853
223,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
224,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20002.520251320853
225,36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,20002.520251320853
226,24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,20002.520251320853
227,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.520251320853
228,32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520251320722
229,33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251320722
230,21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,20002.520251320722
231,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20002.520251320722
232,28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,20002.520251320722
233,36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.520251320722
234,26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520251320722
235,30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520251320722
236,23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,20002.520251320722
237,38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251320722
238,33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,20002.520251320722
239,28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,20002.520251320722
240,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.520251320722
241,22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,20002.520251320722
242,27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.52025131765
243,20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,20002.52025131765
244,25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.52025131765
245,21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.52025131765
246,29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,20002.52025131765
247,34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,20002.52025131765
248,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.52025131765
249,27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,20002.52025131765
250,26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,20002.520251317605
251,22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520251317605
252,20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,20002.520251317605
253,37.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.520251317605
254,35.0,4.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.520251317605
255,39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,50,20002.520251317605
256,25.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.520251317605
257,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251317605
258,30.0,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,20002.520251317605
259,25.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,16,20002.520251317605
260,24.0,4.9,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,12,20002.520251316964
261,24.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,24,20002.520251316964
262,,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.520251316964
263,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.520251316964
